portfolio_id,portfolio_name,portfolio_type,parent_portfolio_id,asset_class,mandate_objective,benchmark_id,base_currency,managed_by_entity_id,inception_date,status
PF-0001,Evergreen Private Markets Fund,total_fund,,,Long-term real return above the policy benchmark,BM-0001,USD,LE-0001,2018-01-01,active
PF-0002,Meridian Global Equity Fund,total_fund,,,Long-term real return above the policy benchmark,BM-0002,USD,LE-0001,2018-01-01,active
PF-0003,Polaris Multi-Asset Fund,total_fund,,,Long-term real return above the policy benchmark,BM-0003,USD,LE-0001,2019-01-01,active
PF-0004,Evergreen Private Markets Fund — Private Equity,asset_class_portfolio,PF-0001,4,Outperform the Private Equity policy benchmark,BM-0004,USD,LE-0001,2018-01-01,active
PF-0005,Evergreen Private Markets Fund — Private Credit,asset_class_portfolio,PF-0001,5,Outperform the Private Credit policy benchmark,BM-0005,USD,LE-0001,2018-01-01,active
PF-0006,Evergreen Private Markets Fund — Real Estate,asset_class_portfolio,PF-0001,6,Outperform the Real Estate policy benchmark,BM-0006,USD,LE-0001,2018-01-01,active
PF-0007,Evergreen Private Markets Fund — Infrastructure,asset_class_portfolio,PF-0001,7,Outperform the Infrastructure policy benchmark,BM-0007,USD,LE-0001,2018-01-01,active
PF-0008,Meridian Global Equity Fund — Public Equities,asset_class_portfolio,PF-0002,1,Outperform the Public Equities policy benchmark,BM-0008,USD,LE-0001,2018-01-01,active
PF-0009,Meridian Global Equity Fund — Cash & Money Markets,asset_class_portfolio,PF-0002,3,Outperform the Cash & Money Markets policy benchmark,BM-0009,USD,LE-0001,2018-01-01,active
PF-0010,Meridian Global Equity Fund — Fixed Income,asset_class_portfolio,PF-0002,2,Outperform the Fixed Income policy benchmark,BM-0010,USD,LE-0001,2018-01-01,active
PF-0011,Polaris Multi-Asset Fund — Public Equities,asset_class_portfolio,PF-0003,1,Outperform the Public Equities policy benchmark,BM-0011,USD,LE-0001,2019-01-01,active
PF-0012,Polaris Multi-Asset Fund — Fixed Income,asset_class_portfolio,PF-0003,2,Outperform the Fixed Income policy benchmark,BM-0012,USD,LE-0001,2019-01-01,active
PF-0013,Polaris Multi-Asset Fund — Private Equity,asset_class_portfolio,PF-0003,4,Outperform the Private Equity policy benchmark,BM-0013,USD,LE-0001,2019-01-01,active
PF-0014,Polaris Multi-Asset Fund — Real Estate,asset_class_portfolio,PF-0003,6,Outperform the Real Estate policy benchmark,BM-0014,USD,LE-0001,2019-01-01,active
PF-0015,Polaris Multi-Asset Fund — Hedge Funds / Active Strategies,asset_class_portfolio,PF-0003,9,Outperform the Hedge Funds / Active Strategies policy benchmark,BM-0015,USD,LE-0001,2019-01-01,active
PF-0016,Polaris Multi-Asset Fund — Cash & Money Markets,asset_class_portfolio,PF-0003,3,Outperform the Cash & Money Markets policy benchmark,BM-0016,USD,LE-0001,2019-01-01,active
